# Aktivierung mit Neutronen
# Zerfall von Vanadium, Messzeit t = 30s
#
# t	N[Impulse]
30	,189  
60	,197
90	,150
120	,159
150	,155
180	,132
210	,117
240	,107
270	,94
300	,100
330	,79
360	,69
390	,81
420	,46
450	,49
480	,61
510	,56
540	,40
570	,45
600	,32
630	,27
660	,43
690	,35
720	,19
750	,28
780	,27
810	,36
840	,25
870	,29
900	,18
930	,17
960	,24
990	,21
1020,	25
1050,	21
1080,	24
1110,	25
1140,	17
1170,	20
1200,	19
1230,	20
1260,	18
1290,	16
1320,	17

#Fehler
#14 
#14 
#12 
#13 
#12  
#11
#11
#10  
#19 
#10          
#9  
#8
#9          
#7  
#7        
#8  
#7  
#6
#7 
#6  
#5  
#7  
#6  
#4
#5  
#5  
#6        
#5          
#5 
#4
#4  
#5  
#5  
#5         
#5  
#5
#5          
#4  
#4  
#4  
#4  
#4
#4          
#4
#














  
